experiment,replicate,learner,method,diagnostic,lambda,value,fold_id,details
b_lr,0,lin,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,7.525177352363244e-06,,
b_lr,0,lin,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,1.709850039333105e-09,,
b_lr,0,lin,cross_ppi,fold_tuning,,4504346594.822255,0.0,"{""model__alpha"": 10.0}"
b_lr,0,lin,cross_ppi,fold_tuning,,4528811429.0489645,1.0,"{""model__alpha"": 10.0}"
b_lr,0,lin,cross_ppi,fold_tuning,,4113633954.7880507,2.0,"{""model__alpha"": 10.0}"
b_lr,0,lin,cross_ppi,fold_tuning,,4235203831.7996593,3.0,"{""model__alpha"": 10.0}"
b_lr,0,lin,cross_ppi,fold_tuning,,4544651367.475933,4.0,"{""model__alpha"": 10.0}"
b_lr,0,lin,cross_ppi,cross_oof_quality,,4453053656.847055,,MSE
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.0,2126865.98580635,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.025,2088531.3620894877,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.05,2051586.9657852303,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.075,2016031.984064892,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.1,1981865.6067719893,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.125,1949087.0264246496,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.15,1917695.438218039,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.175,1887690.0400306634,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.2,1859070.0324260078,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.225,1831834.6186555135,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.25,1805983.0046648744,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.275,1781514.399095662,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.3,1758428.0132892285,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.325,1736723.061292185,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.35,1716398.7598578916,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.375,1697454.3284514977,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.4,1679888.9892542157,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.425,1663701.9671659027,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.45,1648892.489809786,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.475,1635459.7875357098,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.5,1623403.093425644,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.525,1612721.6432947768,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.55,1603414.675698433,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.575,1595481.431935021,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.6,1588921.1560482527,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.625,1583733.0948336616,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.65,1579916.4978421854,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.675,1577470.6173835814,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.7,1576394.708529132,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.725,1576688.0291196946,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.75,1578349.839765524,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.775,1581379.4038539878,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.8,1585775.987550797,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.825,1591538.8598060976,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.85,1598667.2923588636,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.875,1607160.559739489,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.9,1617017.939274828,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.925,1628238.7110938104,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.95,1640822.158130499,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,0.975,1654767.5661278681,,
b_lr,0,dt,ppi_plus_plus_v2,lambda_grid,1.0,1670074.2236433723,,
b_lr,0,dt,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,7.525177352363244e-06,,
b_lr,0,dt,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,1.7680577002465725e-09,,
b_lr,0,dt,cross_ppi,fold_tuning,,4325206408.785659,0.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,0,dt,cross_ppi,fold_tuning,,4219419856.286431,1.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,0,dt,cross_ppi,fold_tuning,,3975030985.8489547,2.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,0,dt,cross_ppi,fold_tuning,,4213482789.5649004,3.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,0,dt,cross_ppi,fold_tuning,,4348149032.771904,4.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}"
b_lr,0,dt,cross_ppi,cross_oof_quality,,4309374887.119411,,MSE
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.0,2126865.98580635,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.025,2090560.2677224786,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.05,2055256.7526144893,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.075,2020954.9550812333,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.1,1987654.391387857,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.125,1955354.579467747,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.15,1924055.038923729,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.175,1893755.2910339325,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.2,1864454.858752429,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.225,1836153.2667114362,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.25,1808850.041226836,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.275,1782544.7102988707,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.3,1757236.8036153403,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.325,1732925.8525560657,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.35,1709611.3901936193,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.375,1687292.9512975798,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.4,1665970.072337856,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.425,1645642.2914862325,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.45,1626309.148620635,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.475,1607970.1853270181,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.5,1590624.9449043185,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.525,1574272.972364461,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.55,1558913.8144384464,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.575,1544547.0195782988,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.6,1531172.1379585366,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.625,1518788.7214815554,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.65,1507396.3237803713,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.675,1496994.5002210585,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.7,1487582.8079045846,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.725,1479160.8056737278,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.75,1471728.0541121825,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.775,1465284.115550937,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.8,1459828.5540689789,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.825,1455360.9354979862,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.85,1451880.8274258687,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.875,1449387.7991984824,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.9,1447881.421923565,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.925,1447361.268475168,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.95,1447826.913495881,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,0.975,1449277.9333995676,,
b_lr,0,rf,ppi_plus_plus_v2,lambda_grid,1.0,1451713.9063758333,,
b_lr,0,rf,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,7.525177352363244e-06,,
b_lr,0,rf,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,1.5788828022778034e-09,,
b_lr,0,rf,cross_ppi,fold_tuning,,4075785345.3967605,0.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,0,rf,cross_ppi,fold_tuning,,4056858525.489475,1.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,0,rf,cross_ppi,fold_tuning,,3763189938.0257993,2.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,0,rf,cross_ppi,fold_tuning,,3891801468.0708942,3.0,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,0,rf,cross_ppi,fold_tuning,,4144703687.1496243,4.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}"
b_lr,0,rf,cross_ppi,cross_oof_quality,,4082501380.9032445,,MSE
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.0,2126865.98580635,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.025,2088524.10065183,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.05,2051284.43638876,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.075,2015146.3826280716,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.1,1980109.3308731124,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.125,1946172.6745210425,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.15,1913335.8088646191,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.175,1881598.131097583,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.2,1850959.040315454,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.225,1821417.937517723,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.25,1792974.2256131833,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.275,1765627.3094208215,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.3,1739376.5956728924,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.325,1714221.493019284,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.35,1690161.4120283402,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.375,1667195.7651909832,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.4,1645323.9669241575,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.425,1624545.433572288,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.45,1604859.5834115227,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.475,1586265.8366515238,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.5,1568763.6154406364,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.525,1552352.3438655664,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.55,1537031.4479577981,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.575,1522800.3556951818,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.6,1509658.4970037574,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.625,1497605.303762752,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.65,1486640.209807611,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.675,1476762.650932319,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.7,1467972.064891208,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.725,1460267.8914058998,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.75,1453649.572164373,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.775,1448116.550827397,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.8,1443668.273029229,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.825,1440304.1863822062,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.85,1438023.740480465,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.875,1436826.3869014764,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.9,1436711.5792101088,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.925,1437678.772962965,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.95,1439727.4257107624,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,0.975,1442856.9970008885,,
b_lr,0,gb,ppi_plus_plus_v2,lambda_grid,1.0,1447066.9483819911,,
b_lr,0,gb,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,7.525177352363244e-06,,
b_lr,0,gb,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,1.6752892406657338e-09,,
b_lr,0,gb,cross_ppi,fold_tuning,,4072652948.6643486,0.0,"{""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
b_lr,0,gb,cross_ppi,fold_tuning,,3994172248.8118334,1.0,"{""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
b_lr,0,gb,cross_ppi,fold_tuning,,3711545199.235515,2.0,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}"
b_lr,0,gb,cross_ppi,fold_tuning,,3845193859.082564,3.0,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}"
b_lr,0,gb,cross_ppi,fold_tuning,,4091124854.9493656,4.0,"{""model__learning_rate"": 0.1, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
b_lr,0,gb,cross_ppi,cross_oof_quality,,4017791466.0523987,,MSE
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.0,2112936.3766563437,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.025,2078459.014047003,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.05,2045132.3056440596,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.075,2012955.9181281263,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.1,1981929.5213435632,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.125,1952052.788296171,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.15,1923325.395152782,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.175,1895747.0212376635,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.2,1869317.3490328947,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.225,1844036.0641778791,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.25,1819902.8554631008,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.275,1796917.4148346325,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.3,1775079.4373880527,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.325,1754388.6213708362,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.35,1734844.6681772564,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.375,1716447.282349594,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.4,1699196.1715756943,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.425,1683091.046688506,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.45,1668131.6216635215,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.475,1654317.613619328,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.5,1641648.7428130682,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.525,1630124.7326440983,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.55,1619745.3096471764,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.575,1610510.2034968971,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.6,1602419.147000894,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.625,1595471.8761036138,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.65,1589668.1298820227,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.675,1585007.650545895,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.7,1581490.1834354075,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.725,1579115.4770222288,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.75,1577883.2829065751,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.775,1577793.355816754,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.8,1578845.4536073299,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.825,1581039.337260969,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.85,1584374.7708833944,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.875,1588851.521706264,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.9,1594469.360082414,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.925,1601228.0594884886,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.95,1609127.3965225716,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,0.975,1618167.1509020654,,
b_lr,1,lin,ppi_plus_plus_v2,lambda_grid,1.0,1628347.1054652561,,
b_lr,1,lin,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,7.566650310764089e-06,,
b_lr,1,lin,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,8.221832104027271e-10,,
b_lr,1,lin,cross_ppi,fold_tuning,,5035602360.693346,0.0,"{""model__alpha"": 10.0}"
b_lr,1,lin,cross_ppi,fold_tuning,,4715183514.728572,1.0,"{""model__alpha"": 10.0}"
b_lr,1,lin,cross_ppi,fold_tuning,,4461871427.172682,2.0,"{""model__alpha"": 10.0}"
b_lr,1,lin,cross_ppi,fold_tuning,,3841327883.0808268,3.0,"{""model__alpha"": 10.0}"
b_lr,1,lin,cross_ppi,fold_tuning,,4405911010.698266,4.0,"{""model__alpha"": 10.0}"
b_lr,1,lin,cross_ppi,cross_oof_quality,,4469574088.371917,,MSE
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.0,2112936.3766563437,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.025,2075292.0323309875,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.05,2038858.3597376223,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.075,2003634.9757671405,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.1,1969621.5002643098,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.125,1936817.5560268438,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.15,1905222.7688060636,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.175,1874836.7673044996,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.2,1845659.1831772325,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.225,1817689.6510327407,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.25,1790927.8084277445,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.275,1765373.2958725495,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.3,1741025.7568264906,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.325,1717884.837701152,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.35,1695950.1878564716,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.375,1675221.4596029841,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.4,1655698.3082006315,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.425,1637380.391858968,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.45,1620267.3717362948,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.475,1604358.911940727,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.5,1589654.679527059,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.525,1576154.344501313,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.55,1563857.5798150161,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.575,1552764.06137077,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.6,1542873.4680163884,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.625,1534185.4815498085,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.65,1526699.7867156756,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.675,1520416.0712068214,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.7,1515334.025662786,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.725,1511453.3436720502,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.75,1508773.7217698733,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.775,1507294.8594390084,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.8,1507016.4591089156,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.825,1507938.226158427,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.85,1510059.868911874,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.875,1513381.0986426626,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.9,1517901.629569976,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.925,1523621.1788618944,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.95,1530539.4666342372,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,0.975,1538656.2159493593,,
b_lr,1,dt,ppi_plus_plus_v2,lambda_grid,1.0,1547971.152818662,,
b_lr,1,dt,ppi_plus_plus_v2,lambda0_vs_split_classic_estimate_max_abs,0.0,7.566650310764089e-06,,
b_lr,1,dt,ppi_plus_plus_v2,lambda1_vs_ppi_estimate_max_abs,1.0,1.7207639757543802e-09,,
b_lr,1,dt,cross_ppi,fold_tuning,,4754547285.424335,0.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,1,dt,cross_ppi,fold_tuning,,4457167028.5533495,1.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,1,dt,cross_ppi,fold_tuning,,4184755789.9229894,2.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,1,dt,cross_ppi,fold_tuning,,3594915434.2381077,3.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,1,dt,cross_ppi,fold_tuning,,4097888508.7535405,4.0,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}"
b_lr,1,dt,cross_ppi,cross_oof_quality,,4216340968.6456203,,MSE
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.0,2112936.3766563437,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.025,2074255.3931098008,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.05,2036697.5799253015,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.075,2000262.6298377072,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.1,1964950.2385514113,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.125,1930760.1047391566,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.15,1897691.930042462,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.175,1865745.4190693817,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.2,1834920.2793953898,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.225,1805216.221564163,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.25,1776632.9590824845,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.275,1749170.2084251652,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.3,1722827.6890306065,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.325,1697605.123303647,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.35,1673502.2366117574,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.375,1650518.7572870408,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.4,1628654.4166247416,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.425,1607908.948883873,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.45,1588282.091285484,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.475,1569773.5840141028,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.5,1552383.1702144234,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.525,1536110.5959954732,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.55,1520955.6104251808,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.575,1506917.9655353676,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.6,1493997.4163161071,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.625,1482193.7207202865,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.65,1471506.639660304,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.675,1461935.9370092691,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.7,1453481.3795994474,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.725,1446142.7372242922,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.75,1439919.7826363728,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.775,1434812.2915478456,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.8,1430820.0426295903,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.825,1427942.8175136321,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.85,1426180.4007894783,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.875,1425532.5800072118,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.9,1425999.1456743812,,
b_lr,1,rf,ppi_plus_plus_v2,lambda_grid,0.925,1427579.8912588663,,
