experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
b_lr,12,gb,GB,Histogram Gradient Boosting Regressor,MSE,4180120153.3092737,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",5385075565.188215,6364,25458
b_lr,12,lin,LIN,Ridge Regression,MSE,4572745690.700907,"{""model__alpha"": 10.0}",5708451572.559346,6364,25458
b_lr,12,rf,RF,Random Forest Regressor,MSE,4286184197.1516867,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",5388979900.240276,6364,25458
b_lr,13,dt,DT,Decision Tree Regressor,MSE,4557298710.652817,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4613345860.285993,6364,25458
b_lr,13,gb,GB,Histogram Gradient Boosting Regressor,MSE,4181653336.0711265,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4404456997.167208,6364,25458
b_lr,13,lin,LIN,Ridge Regression,MSE,4605515652.86925,"{""model__alpha"": 10.0}",4806300809.631115,6364,25458
b_lr,13,rf,RF,Random Forest Regressor,MSE,4245788838.390426,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4345404883.941757,6364,25458
b_lr,14,dt,DT,Decision Tree Regressor,MSE,4410368727.642891,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4364075557.340238,6364,25458
b_lr,14,gb,GB,Histogram Gradient Boosting Regressor,MSE,4051582465.695544,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4127582843.080021,6364,25458
b_lr,14,lin,LIN,Ridge Regression,MSE,4460998338.856726,"{""model__alpha"": 10.0}",4377078980.933886,6364,25458
b_lr,14,rf,RF,Random Forest Regressor,MSE,4098731424.709174,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4101156656.3928366,6364,25458
b_lr,15,dt,DT,Decision Tree Regressor,MSE,4404445612.72428,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",5517023386.763125,6364,25458
b_lr,15,gb,GB,Histogram Gradient Boosting Regressor,MSE,4027083442.07456,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",5186035972.288242,6364,25458
b_lr,15,lin,LIN,Ridge Regression,MSE,4453788635.945205,"{""model__alpha"": 10.0}",5143627138.314609,6364,25458
b_lr,15,rf,RF,Random Forest Regressor,MSE,4139670693.219066,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",5005764185.330764,6364,25458
b_lr,16,dt,DT,Decision Tree Regressor,MSE,4110716946.441626,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4313572625.738971,6364,25458
b_lr,16,gb,GB,Histogram Gradient Boosting Regressor,MSE,3842218391.8678026,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4158396556.4347725,6364,25458
b_lr,16,lin,LIN,Ridge Regression,MSE,4206550256.9674754,"{""model__alpha"": 10.0}",4402438044.8898325,6364,25458
b_lr,16,rf,RF,Random Forest Regressor,MSE,3903335213.747457,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4028317085.1135316,6364,25458
b_lr,17,dt,DT,Decision Tree Regressor,MSE,4197161076.3736467,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4185842484.7947154,6364,25458
b_lr,17,gb,GB,Histogram Gradient Boosting Regressor,MSE,3958584371.6477065,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4084624643.285317,6364,25458
b_lr,17,lin,LIN,Ridge Regression,MSE,4349643138.181798,"{""model__alpha"": 10.0}",4174776880.6535134,6364,25458
b_lr,17,rf,RF,Random Forest Regressor,MSE,3960775672.5043955,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",3901599325.1045504,6364,25458
b_lr,18,dt,DT,Decision Tree Regressor,MSE,4665823265.952231,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",4534723448.537097,6364,25458
b_lr,18,gb,GB,Histogram Gradient Boosting Regressor,MSE,4204061557.0185966,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4336077650.111979,6364,25458
b_lr,18,lin,LIN,Ridge Regression,MSE,4599065635.394132,"{""model__alpha"": 10.0}",4657181026.70736,6364,25458
b_lr,18,rf,RF,Random Forest Regressor,MSE,4278910417.344744,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4240353849.354481,6364,25458
b_lr,19,dt,DT,Decision Tree Regressor,MSE,4363790663.581006,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",4478870969.550977,6364,25458
b_lr,19,gb,GB,Histogram Gradient Boosting Regressor,MSE,4085444389.884802,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",4408405267.202472,6364,25458
b_lr,19,lin,LIN,Ridge Regression,MSE,4413194733.40804,"{""model__alpha"": 10.0}",4670617743.384006,6364,25458
b_lr,19,rf,RF,Random Forest Regressor,MSE,4105684951.428561,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",4342854013.951671,6364,25458
